customer_id,customer_name,email,phone,age,city,state,country,signup_date
C00001,Customer_1,customer1@gmail.com,9384837261,50,Hyderabad,Telangana,India,2024-08-22
C00002,Customer_2,customer2@gmail.com,9136134125,46,Lucknow,Uttar Pradesh,India,2022-11-20
C00003,Customer_3,customer3@gmail.com,9273167232,34,Mumbai,Maharashtra,India,2024-06-23
C00004,Customer_4,customer4@gmail.com,9563551505,50,Lucknow,Uttar Pradesh,India,2023-02-18
C00005,Customer_5,customer5@gmail.com,9065894811,47,Bengaluru,Karnataka,India,2023-03-28
C00006,Customer_6,customer6@gmail.com,9440242646,24,Pune,Maharashtra,India,2022-03-28
C00007,Customer_7,customer7@gmail.com,9897514026,52,Mumbai,Maharashtra,India,2024-07-30
C00008,Customer_8,customer8@gmail.com,9014193141,35,Delhi,Delhi,India,2024-08-18
C00009,Customer_9,customer9@gmail.com,9864920831,18,Hyderabad,Telangana,India,2022-12-14
C00010,Customer_10,customer10@gmail.com,9234483478,34,Mumbai,Maharashtra,India,2022-02-21
C00011,Customer_11,customer11@gmail.com,9040008838,35,Mumbai,Maharashtra,India,2022-12-22
C00012,Customer_12,customer12@gmail.com,9716786843,33,Hyderabad,Telangana,India,2024-08-15
C00013,Customer_13,customer13@gmail.com,9265020146,39,Pune,Maharashtra,India,2022-07-23
C00014,Customer_14,customer14@gmail.com,9684934072,21,Mumbai,Maharashtra,India,2022-03-28
C00015,Customer_15,customer15@gmail.com,9045585304,35,Mumbai,Maharashtra,India,2023-04-02
C00016,Customer_16,customer16@gmail.com,9056174833,40,Pune,Maharashtra,India,2022-07-07
C00017,Customer_17,customer17@gmail.com,9141269060,67,Bengaluru,Karnataka,India,2022-01-06
C00018,Customer_18,customer18@gmail.com,9319829657,37,Ahmedabad,Gujarat,India,2023-10-07
C00019,Customer_19,abc@@gmail.com,9920868288,36,Mumbai,Maharashtra,India,2024-01-12
C00020,Customer_20,customer20@gmail.com,9931002516,70,Jaipur,Rajasthan,India,2023-12-04
C00021,Customer_21,customer21@gmail.com,9083740718,53,Hyderabad,Telangana,India,2022-02-21
C00022,Customer_22,customer22@gmail.com,9817414333,23,Bengaluru,Karnataka,India,2023-11-07
C00023,Customer_23,,9617409319,49,Hyderabad,Telangana,India,2024-05-15
C00024,Customer_24,customer24@gmail.com,9499207074,39,Mumbai,Maharashtra,India,2022-09-18
C00025,Customer_25,customer25@gmail.com,9748477718,62,Delhi,Delhi,India,2022-08-11
C00026,Customer_26,customer26@gmail.com,9704718746,37,Pune,Maharashtra,India,2022-03-29
C00027,Customer_27,customer27@gmail.com,9912845298,31,Pune,Maharashtra,India,2022-03-18
C00028,Customer_28,customer28@gmail.com,9537760207,25,Ahmedabad,Gujarat,India,2023-12-22
C00029,,customer29@gmail.com,9265651505,43,Hyderabad,Telangana,India,2022-11-06
C00030,Customer_30,customer30@gmail.com,9304451669,43,Chennai,Tamil Nadu,India,2022-05-03
C00031,Customer_31,customer31@gmail.com,9640410423,150,Delhi,Delhi,India,2024-08-05
C00032,Customer_32,customer32@gmail.com,9535606883,45,Ahmedabad,Gujarat,India,2023-06-08
C00033,Customer_33,customer33@gmail.com,9679247082,21,Delhi,Delhi,India,2024-08-13
C00034,Customer_34,customer34@gmail.com,9544446347,48,Mumbai,Maharashtra,India,2023-03-01
C00035,Customer_35,customer35@gmail.com,9122138783,60,Bengaluru,Karnataka,India,2023-02-08
C00036,Customer_36,customer36@gmail.com,9762833125,39,Hyderabad,Telangana,India,2024-02-17
C00037,Customer_37,customer37@gmail.com,9354930666,23,,Karnataka,India,2022-11-23
C00038,Customer_38,abc@@gmail.com,9450749528,31,Bengaluru,Karnataka,India,2023-01-21
C00039,Customer_39,customer39@gmail.com,9314366764,58,Bengaluru,Karnataka,India,2024-03-20
C00040,Customer_40,customer40@gmail.com,9679701687,26,Jaipur,Rajasthan,India,2022-02-03
C00041,Customer_41,customer41@gmail.com,9132281718,33,Hyderabad,Telangana,India,2024-02-30
C00042,Customer_42,customer42@gmail.com,9239042486,18,Jaipur,Rajasthan,India,2024-03-12
C00043,Customer_43,customer43@gmail.com,9489364390,24,Delhi,Delhi,India,2022-03-14
C00044,Customer_44,customer44@gmail.com,9745378383,52,Jaipur,Rajasthan,India,2022-11-05
C00045,Customer_45,customer45@gmail.com,9400376143,44,Jaipur,Rajasthan,India,2023-12-23
C00046,Customer_46,,9705656304,41,Lucknow,Uttar Pradesh,India,2022-08-21
C00047,Customer_47,customer47@gmail.com,9734337344,22,Bengaluru,Karnataka,India,2022-07-30
C00048,Customer_48,customer48@gmail.com,9923760926,57,Delhi,Delhi,India,2023-05-23
C00049,Customer_49,customer49@gmail.com,9926002675,31,Jaipur,Rajasthan,India,2022-01-25
C00050,Customer_50,customer50@gmail.com,9253287046,23,Delhi,Delhi,India,2024-08-11
C00051,Customer_51,customer51@gmail.com,9210141561,39,Chennai,Tamil Nadu,India,2023-03-30
C00052,Customer_52,customer52@gmail.com,9654610735,66,Bengaluru,Karnataka,India,2022-08-01
C00053,Customer_53,customer53@gmail.com,9557063606,46,Bengaluru,Karnataka,India,2022-07-17
C00054,Customer_54,customer54@gmail.com,9043195545,47,Jaipur,Rajasthan,India,2022-03-06
C00055,Customer_55,customer55@gmail.com,9544091031,34,Jaipur,Rajasthan,India,2024-02-04
C00056,Customer_56,customer56@gmail.com,9764672720,63,Hyderabad,Telangana,India,2024-09-06
C00057,Customer_57,abc@@gmail.com,9293557591,70,Ahmedabad,Gujarat,India,2023-12-10
C00058,,customer58@gmail.com,9236107885,30,Bengaluru,Karnataka,India,2023-02-06
C00059,Customer_59,customer59@gmail.com,9114913167,45,Mumbai,Maharashtra,India,2024-06-23
C00060,Customer_60,customer60@gmail.com,9267938144,29,Hyderabad,Telangana,India,2022-08-28
C00061,Customer_61,customer61@gmail.com,9544373233,54,Ahmedabad,Gujarat,India,2022-10-02
C00062,Customer_62,customer62@gmail.com,9935164388,150,Mumbai,Maharashtra,India,2024-06-24
C00063,Customer_63,customer63@gmail.com,9170107375,59,Pune,Maharashtra,India,2024-04-07
C00064,Customer_64,customer64@gmail.com,9103993158,36,Jaipur,Rajasthan,India,2022-08-27
C00065,Customer_65,customer65@gmail.com,9401995305,46,Mumbai,Maharashtra,India,2023-09-10
C00066,Customer_66,customer66@gmail.com,9340930565,27,Chennai,Tamil Nadu,India,2022-02-15
C00067,Customer_67,customer67@gmail.com,9130787161,57,Mumbai,Maharashtra,India,2022-11-16
C00068,Customer_68,customer68@gmail.com,9281264644,60,Lucknow,Uttar Pradesh,India,2023-07-18
C00069,Customer_69,,9956605366,21,Lucknow,Uttar Pradesh,India,2022-11-16
C00070,Customer_70,customer70@gmail.com,9261169572,18,Pune,Maharashtra,India,2023-03-21
C00071,Customer_71,customer71@gmail.com,9826199582,18,Mumbai,Maharashtra,India,2022-02-22
C00072,Customer_72,customer72@gmail.com,9282116734,40,Mumbai,Maharashtra,India,2022-10-18
C00073,Customer_73,customer73@gmail.com,9750961923,20,Mumbai,Maharashtra,India,2024-09-25
C00074,Customer_74,customer74@gmail.com,9372930682,57,,Uttar Pradesh,India,2024-05-16
C00075,Customer_75,customer75@gmail.com,9233080516,40,Lucknow,Uttar Pradesh,India,2022-05-07
C00076,Customer_76,abc@@gmail.com,9464936657,53,Hyderabad,Telangana,India,2024-05-19
C00077,Customer_77,customer77@gmail.com,9009773797,46,Bengaluru,Karnataka,India,2022-07-03
C00078,Customer_78,customer78@gmail.com,9611256517,69,Mumbai,Maharashtra,India,2023-04-30
C00079,Customer_79,customer79@gmail.com,9002158108,50,Bengaluru,Karnataka,India,2023-11-04
C00080,Customer_80,customer80@gmail.com,9201913274,59,Lucknow,Uttar Pradesh,India,2024-08-31
C00081,Customer_81,customer81@gmail.com,9315942594,61,Mumbai,Maharashtra,India,2024-03-18
C00082,Customer_82,customer82@gmail.com,9873949835,27,Hyderabad,Telangana,India,2024-02-30
C00083,Customer_83,customer83@gmail.com,9262456241,20,Chennai,Tamil Nadu,India,2022-07-23
C00084,Customer_84,customer84@gmail.com,9578891486,21,Bengaluru,Karnataka,India,2023-10-14
C00085,Customer_85,customer85@gmail.com,9592551732,34,Chennai,Tamil Nadu,India,2023-01-20
C00086,Customer_86,customer86@gmail.com,9844950032,36,Jaipur,Rajasthan,India,2024-04-19
C00087,,customer87@gmail.com,9668502739,57,Ahmedabad,Gujarat,India,2023-10-03
C00088,Customer_88,customer88@gmail.com,9095418583,19,Jaipur,Rajasthan,India,2022-02-25
C00089,Customer_89,customer89@gmail.com,9923597220,55,Lucknow,Uttar Pradesh,India,2022-11-05
C00090,Customer_90,customer90@gmail.com,9711246400,63,Pune,Maharashtra,India,2022-06-02
C00091,Customer_91,customer91@gmail.com,9979873200,40,Bengaluru,Karnataka,India,2023-09-01
C00092,Customer_92,,9623201098,52,Jaipur,Rajasthan,India,2022-01-26
C00093,Customer_93,customer93@gmail.com,9389869284,150,Pune,Maharashtra,India,2023-02-28
C00094,Customer_94,customer94@gmail.com,9078066717,37,Delhi,Delhi,India,2023-10-03
C00095,Customer_95,abc@@gmail.com,9430154048,32,Mumbai,Maharashtra,India,2022-04-18
C00096,Customer_96,customer96@gmail.com,9844318024,61,Lucknow,Uttar Pradesh,India,2024-03-18
C00097,Customer_97,customer97@gmail.com,9253659368,65,Pune,Maharashtra,India,2022-07-27
C00098,Customer_98,customer98@gmail.com,9800639436,48,Hyderabad,Telangana,India,2024-05-09
